Threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,28.7962,20.7273,14.5336,8.18123,3.13925,21.443,12.3836,11.9062,4.70687,4.13627,35.4904,11.2426,10.6344,9.26048,44.0957,63.6666,25.6274,20.4791,6.23005,4.45373,26.8619,17.8538,12.2819,5.75769,3.89267
1,29.0117,10.8055,10.0246,5.86839,1.49838,18.919,7.60782,10.517,3.64922,1.88259,30.8261,27.2907,19.4734,6.35478,12.6959,89.8294,18.3315,14.1106,7.31944,3.23005,34.8877,7.25256,6.85813,3.95428,2.03442
1,37.8651,8.39911,4.31823,3.01054,1.36401,26.3173,4.19354,7.78656,2.04575,1.73248,56.8116,20.2123,19.9211,6.23334,10.1772,158.238,23.4117,19.0248,10.9734,5.01805,46.1184,5.06674,4.04555,3.0859,1.17576
1,25.2615,23.3815,4.44465,2.82558,2.42021,22.1555,13.1419,5.51816,1.84795,2.3052,64.6816,16.5108,17.1909,5.71968,25.4905,65.3095,25.9702,16.2202,5.31598,3.43404,38.1873,27.2186,6.44408,4.11226,2.16927
1,22.8655,22.9981,4.10012,3.18461,2.64473,18.6145,13.4038,2.60364,2.59338,2.73886,37.1804,17.3289,19.4765,16.349,41.7415,25.7268,21.2063,6.7198,6.21191,2.75059,31.586,28.3842,5.98194,4.69126,3.50478
1,28.2494,11.2733,4.39503,2.21393,1.64749,16.3037,9.67092,1.80314,1.42651,1.67056,10.0059,10.0754,11.8566,34.3089,16.8659,20.4762,13.7145,6.03141,3.68716,2.05985,32.5421,13.6711,4.28178,2.11716,2.11152
1,35.7483,14.1528,2.4004,2.34612,1.48632,23.9402,14.0262,2.45407,1.90705,1.65226,19.4777,16.2433,17.0674,26.4252,9.48467,33.2352,14.6157,6.68234,2.60729,2.06492,38.4124,17.804,4.80233,2.16955,1.44331
1,29.9835,22.1035,3.98412,4.76444,3.62932,23.7877,19.9221,5.12123,3.80583,3.70197,50.2382,13.6106,15.7389,24.982,46.3694,32.2279,20.8547,3.69599,5.18912,2.59999,34.7522,24.7311,4.27286,5.70409,3.50298
1,32.9633,24.9503,14.502,12.2388,9.30444,26.0979,21.9457,9.60062,12.9686,8.92461,54.2551,37.1911,46.9214,205.654,149.418,41.5745,34.5252,6.71104,12.1527,5.37789,37.3515,31.6743,8.83439,17.5939,8.86145
1,25.6846,33.6266,22.1235,15.5128,5.0007,25.982,35.7447,16.6765,15.0454,5.00515,245.745,262.881,230.616,302.343,76.4777,37.719,21.9726,19.6157,18.2133,5.06491,25.8412,41.8056,15.417,19.8382,4.8553
1,33.0652,34.1651,18.2239,7.55925,1.53265,38.1112,42.3058,22.8209,4.84757,1.38341,450.125,560.8,510.886,74.4185,24.9487,36.5593,39.7259,39.6449,8.1551,3.7861,43.1194,41.2808,24.7566,6.53866,1.7983
1,24.3684,18.0175,19.5489,7.22664,2.17372,23.875,25.1877,21.9033,7.29981,2.40263,344.404,423.418,569.655,102.197,53.7084,44.8756,47.087,42.2697,6.49384,2.69411,34.188,17.5147,23.2619,8.98588,2.70666
1,19.0925,8.22173,9.23961,11.126,10.1566,16.0048,14.8213,9.95754,11.5678,9.65921,168.582,108.219,246.887,202.64,250.356,45.4162,20.1588,25.1408,8.62705,8.12252,24.4907,10.1672,11.346,13.9742,11.096
1,18.5388,14.0142,9.1142,9.56458,14.3342,12.9702,11.3015,6.09925,7.51348,13.886,10.0195,14.136,108.656,158.031,392.45,32.0566,16.9517,8.71321,6.81719,13.1155,18.4063,13.145,6.93384,11.0705,16.724
1,29.6186,14.4355,6.29474,21.9402,7.64364,17.1534,9.43904,5.61933,17.1369,9.02994,17.5252,18.9575,76.1667,453.55,260.801,38.0998,16.8369,8.475,16.9176,8.11069,21.9427,11.2091,3.8051,23.9589,11.0798
1,69.3029,17.0503,17.765,20.6318,3.15455,46.1799,15.4471,16.499,20.7347,4.73678,178.689,281.653,240.399,427.887,83.9478,60.8237,31.5746,12.4861,24.6628,3.2699,45.8126,23.431,8.74625,21.0303,5.22909
1,56.3912,36.9261,40.9806,7.0548,2.36497,42.9475,37.122,37.6206,9.08842,3.64576,271.358,732.219,670.66,112.877,27.7623,69.9283,49.9028,22.2637,14.0585,2.598,60.6029,56.2187,35.3998,8.38103,2.96439
1,34.385,35.4098,28.6942,11.3802,3.37853,33.2711,36.8786,29.6944,13.2864,2.9334,275.988,540.727,445.515,150.366,23.4453,51.7975,45.0745,18.3924,7.97665,3.10645,57.8042,46.9537,31.8302,11.1332,2.42263
1,20.1726,14.6025,23.6401,25.0297,5.20405,20.0594,11.2673,27.7617,26.5696,5.54536,93.1439,162.643,314.343,468.304,106.824,26.6783,33.6284,14.0212,20.5576,5.27778,28.9303,24.1587,24.4131,24.3396,5.87846
1,23.657,11.9186,14.084,16.7172,11.0328,15.8556,6.79597,11.8232,14.8946,12.1031,17.8212,44.2625,131.687,445.535,283.615,20.6788,18.9549,6.72205,23.9885,11.1093,29.4227,19.4821,11.7217,18.5218,13.4469
1,29.0371,9.46974,4.65266,10.6383,12.8818,15.839,9.86304,4.23319,8.74183,14.6737,23.3172,59.1013,50.0348,291.326,322.561,20.8842,11.4072,3.62368,14.2223,12.6285,40.0294,27.3728,4.53472,14.3187,15.9351
